video_path,emotion_path,pose_path,label,split,class,video_id
dataset/data/processed/train/violent/-1l5631l3fg_0/frame_sequence.pt,,,1,train,violent,-1l5631l3fg_0
dataset/data/processed/train/violent/-1l5631l3fg_1/frame_sequence.pt,,,1,train,violent,-1l5631l3fg_1
dataset/data/processed/train/violent/-1l5631l3fg_2/frame_sequence.pt,,,1,train,violent,-1l5631l3fg_2
dataset/data/processed/train/violent/0H2s9UJcNJ0_0/frame_sequence.pt,,,1,train,violent,0H2s9UJcNJ0_0
dataset/data/processed/train/violent/0H2s9UJcNJ0_2/frame_sequence.pt,,,1,train,violent,0H2s9UJcNJ0_2
dataset/data/processed/train/violent/0H2s9UJcNJ0_3/frame_sequence.pt,,,1,train,violent,0H2s9UJcNJ0_3
dataset/data/processed/train/violent/0H2s9UJcNJ0_4/frame_sequence.pt,,,1,train,violent,0H2s9UJcNJ0_4
dataset/data/processed/train/violent/0H2s9UJcNJ0_5/frame_sequence.pt,,,1,train,violent,0H2s9UJcNJ0_5
dataset/data/processed/train/violent/0NWz-01A2yk_0/frame_sequence.pt,,,1,train,violent,0NWz-01A2yk_0
dataset/data/processed/train/violent/0NWz-01A2yk_1/frame_sequence.pt,,,1,train,violent,0NWz-01A2yk_1
dataset/data/processed/train/non_violent/-1l5631l3fg_0/frame_sequence.pt,,,0,train,non_violent,-1l5631l3fg_0
dataset/data/processed/train/non_violent/-1l5631l3fg_1/frame_sequence.pt,,,0,train,non_violent,-1l5631l3fg_1
dataset/data/processed/train/non_violent/0AvTZRYx_0/frame_sequence.pt,,,0,train,non_violent,0AvTZRYx_0
dataset/data/processed/train/non_violent/0GGPb4iO_0/frame_sequence.pt,,,0,train,non_violent,0GGPb4iO_0
dataset/data/processed/train/non_violent/0H2s9UJcNJ0_0/frame_sequence.pt,,,0,train,non_violent,0H2s9UJcNJ0_0
dataset/data/processed/train/non_violent/0H2s9UJcNJ0_1/frame_sequence.pt,,,0,train,non_violent,0H2s9UJcNJ0_1
dataset/data/processed/train/non_violent/0H2s9UJcNJ0_2/frame_sequence.pt,,,0,train,non_violent,0H2s9UJcNJ0_2
dataset/data/processed/train/non_violent/0NqPsSHdri8_0/frame_sequence.pt,,,0,train,non_violent,0NqPsSHdri8_0
dataset/data/processed/train/non_violent/0QSeuqzpcOQ_0/frame_sequence.pt,,,0,train,non_violent,0QSeuqzpcOQ_0
dataset/data/processed/train/non_violent/0QSeuqzpcOQ_1/frame_sequence.pt,,,0,train,non_violent,0QSeuqzpcOQ_1
dataset/data/processed/val/violent/0Ow4cotKOuw_0/frame_sequence.pt,,,1,val,violent,0Ow4cotKOuw_0
dataset/data/processed/val/violent/0Ow4cotKOuw_1/frame_sequence.pt,,,1,val,violent,0Ow4cotKOuw_1
dataset/data/processed/val/violent/0Ow4cotKOuw_2/frame_sequence.pt,,,1,val,violent,0Ow4cotKOuw_2
dataset/data/processed/val/violent/0Ow4cotKOuw_3/frame_sequence.pt,,,1,val,violent,0Ow4cotKOuw_3
dataset/data/processed/val/violent/0Ow4cotKOuw_4/frame_sequence.pt,,,1,val,violent,0Ow4cotKOuw_4
dataset/data/processed/val/violent/1Kbw1bUw_0/frame_sequence.pt,,,1,val,violent,1Kbw1bUw_0
dataset/data/processed/val/violent/1Kbw1bUw_1/frame_sequence.pt,,,1,val,violent,1Kbw1bUw_1
dataset/data/processed/val/violent/1Kbw1bUw_2/frame_sequence.pt,,,1,val,violent,1Kbw1bUw_2
dataset/data/processed/val/violent/1Kbw1bUw_3/frame_sequence.pt,,,1,val,violent,1Kbw1bUw_3
dataset/data/processed/val/violent/1MVS2QPWbHc_0/frame_sequence.pt,,,1,val,violent,1MVS2QPWbHc_0
dataset/data/processed/val/non_violent/10uSOcwS_0/frame_sequence.pt,,,0,val,non_violent,10uSOcwS_0
dataset/data/processed/val/non_violent/1AURh0Wj_0/frame_sequence.pt,,,0,val,non_violent,1AURh0Wj_0
dataset/data/processed/val/non_violent/1MVS2QPWbHc_0/frame_sequence.pt,,,0,val,non_violent,1MVS2QPWbHc_0
dataset/data/processed/val/non_violent/1MVS2QPWbHc_1/frame_sequence.pt,,,0,val,non_violent,1MVS2QPWbHc_1
dataset/data/processed/val/non_violent/1W8hsVvyKt4_0/frame_sequence.pt,,,0,val,non_violent,1W8hsVvyKt4_0
dataset/data/processed/val/non_violent/1W8hsVvyKt4_1/frame_sequence.pt,,,0,val,non_violent,1W8hsVvyKt4_1
dataset/data/processed/val/non_violent/1W8hsVvyKt4_2/frame_sequence.pt,,,0,val,non_violent,1W8hsVvyKt4_2
dataset/data/processed/val/non_violent/1W8hsVvyKt4_3/frame_sequence.pt,,,0,val,non_violent,1W8hsVvyKt4_3
dataset/data/processed/val/non_violent/2lrARl7utL4_0/frame_sequence.pt,,,0,val,non_violent,2lrARl7utL4_0
dataset/data/processed/val/non_violent/2lrARl7utL4_1/frame_sequence.pt,,,0,val,non_violent,2lrARl7utL4_1
