video_path,emotion_path,pose_path,label,split,class,video_id
dataset/data/processed/train/violent/-1l5631l3fg_0/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/fear_01235.npy,dataset/data/pose/rwf2000/train/violent/-1l5631l3fg_0.npy,1,train,violent,-1l5631l3fg_0
dataset/data/processed/train/violent/-1l5631l3fg_1/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00457.npy,dataset/data/pose/rwf2000/train/violent/-1l5631l3fg_1.npy,1,train,violent,-1l5631l3fg_1
dataset/data/processed/train/violent/-1l5631l3fg_2/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00103.npy,dataset/data/pose/rwf2000/train/violent/-1l5631l3fg_2.npy,1,train,violent,-1l5631l3fg_2
dataset/data/processed/train/violent/0H2s9UJcNJ0_0/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/surprise_00261.npy,dataset/data/pose/rwf2000/train/violent/0H2s9UJcNJ0_0.npy,1,train,violent,0H2s9UJcNJ0_0
dataset/data/processed/train/violent/0H2s9UJcNJ0_2/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_01129.npy,dataset/data/pose/rwf2000/train/violent/0H2s9UJcNJ0_2.npy,1,train,violent,0H2s9UJcNJ0_2
dataset/data/processed/train/violent/0H2s9UJcNJ0_3/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_01006.npy,dataset/data/pose/rwf2000/train/violent/0H2s9UJcNJ0_3.npy,1,train,violent,0H2s9UJcNJ0_3
dataset/data/processed/train/violent/0H2s9UJcNJ0_4/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00917.npy,dataset/data/pose/rwf2000/train/violent/0H2s9UJcNJ0_4.npy,1,train,violent,0H2s9UJcNJ0_4
dataset/data/processed/train/violent/0H2s9UJcNJ0_5/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00574.npy,dataset/data/pose/rwf2000/train/violent/0H2s9UJcNJ0_5.npy,1,train,violent,0H2s9UJcNJ0_5
dataset/data/processed/train/violent/0NWz-01A2yk_0/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/surprise_00244.npy,dataset/data/pose/rwf2000/train/violent/0NWz-01A2yk_0.npy,1,train,violent,0NWz-01A2yk_0
dataset/data/processed/train/violent/0NWz-01A2yk_1/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00421.npy,dataset/data/pose/rwf2000/train/violent/0NWz-01A2yk_1.npy,1,train,violent,0NWz-01A2yk_1
dataset/data/processed/train/violent/0TFi8D8IBg4_1/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/fear_01395.npy,dataset/data/pose/rwf2000/train/violent/0TFi8D8IBg4_1.npy,1,train,violent,0TFi8D8IBg4_1
dataset/data/processed/train/violent/0_DzLlklZa0_3/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/surprise_00265.npy,dataset/data/pose/rwf2000/train/violent/0_DzLlklZa0_3.npy,1,train,violent,0_DzLlklZa0_3
dataset/data/processed/train/violent/0_DzLlklZa0_4/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/surprise_00887.npy,dataset/data/pose/rwf2000/train/violent/0_DzLlklZa0_4.npy,1,train,violent,0_DzLlklZa0_4
dataset/data/processed/train/violent/0_DzLlklZa0_5/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/fear_00856.npy,dataset/data/pose/rwf2000/train/violent/0_DzLlklZa0_5.npy,1,train,violent,0_DzLlklZa0_5
dataset/data/processed/train/violent/0_DzLlklZa0_6/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00358.npy,dataset/data/pose/rwf2000/train/violent/0_DzLlklZa0_6.npy,1,train,violent,0_DzLlklZa0_6
dataset/data/processed/train/violent/0lHQ2f0d_0/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/fear_01043.npy,dataset/data/pose/rwf2000/train/violent/0lHQ2f0d_0.npy,1,train,violent,0lHQ2f0d_0
dataset/data/processed/train/violent/0lHQ2f0d_1/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/fear_00352.npy,dataset/data/pose/rwf2000/train/violent/0lHQ2f0d_1.npy,1,train,violent,0lHQ2f0d_1
dataset/data/processed/train/violent/0lHQ2f0d_2/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00132.npy,dataset/data/pose/rwf2000/train/violent/0lHQ2f0d_2.npy,1,train,violent,0lHQ2f0d_2
dataset/data/processed/train/violent/0lHQ2f0d_3/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00124.npy,dataset/data/pose/rwf2000/train/violent/0lHQ2f0d_3.npy,1,train,violent,0lHQ2f0d_3
dataset/data/processed/train/violent/0vasozvJYvk_0/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00388.npy,dataset/data/pose/rwf2000/train/violent/0vasozvJYvk_0.npy,1,train,violent,0vasozvJYvk_0
dataset/data/processed/train/violent/1060314ф╕нхгвхдйцЩЯщЖлщЩвцАеши║ходцЪ┤хКЫф║Лф╗╢я╝ИхНЮщЗСх│░я╝Й_17/frame_sequence.pt,dataset/data/emotion/balanced-affectnet/train/violent/anger_00904.npy,dataset/data/pose/rwf2000/train/violent/1060314ф╕нхгвхдйцЩЯщЖлщЩвцАеши║ходцЪ┤хКЫф║Лф╗╢я╝ИхНЮщЗСх│░я╝Й_17.npy,1,train,violent,1060314ф╕нхгвхдйцЩЯщЖлщЩвцАеши║ходцЪ┤хКЫф║Лф╗╢я╝ИхНЮщЗСх│░я╝Й_17
